Index,Ground Truth,SLM Prediction,SLM Label,SLM Score
12136783,0,15,Normal,0.9634097218513489
11898464,5,15,SSH Patator,0.9676030874252319
8677524,0,15,SSH Patator,0.6710584759712219
14423857,0,4,DoS SlowHTTPTest,0.9991243481636047
345702,8,15,Normal,0.9674161672592163
5512210,0,15,Normal,0.9452415704727173
10098918,0,15,Normal,0.984293520450592
8779682,0,15,Web Attack - Brute Force,0.4666479825973511
9369892,0,15,SSH Patator,0.9884206056594849
5724158,0,15,Normal,0.9626629948616028
1062023,2,15,Normal,0.9019680023193359
3117789,4,15,SSH Patator,0.9692654013633728
4112281,0,15,Normal,0.9031549692153931
9072180,0,15,Normal,0.6894248127937317
11488288,0,15,Normal,0.9959473013877869
12116127,5,15,SSH Patator,0.8098728656768799
2859265,0,15,Normal,0.9189646244049072
10735910,0,15,Normal,0.7527706623077393
13539788,0,15,Normal,0.8904623985290527
6132008,0,15,Normal,0.9420759677886963
10161235,0,3,DoS Slowloris,0.5637036561965942
2244551,1,15,SSH Patator,0.8311551809310913
9800796,0,15,Normal,0.39164090156555176
1455108,0,15,Web Attack - Brute Force,0.6400191187858582
12037703,0,15,Normal,0.9372404217720032
7071632,0,15,Normal,0.9997077584266663
10484032,0,15,Normal,0.8315067887306213
14711587,0,15,Normal,0.9992825388908386
11723005,5,15,Normal,0.8547337055206299
10741176,0,15,Normal,0.5168026685714722
7244200,0,15,Normal,0.9337733387947083
13562116,0,15,Normal,0.5291174650192261
12630853,0,3,DoS Slowloris,0.6724303364753723
10356786,0,15,Normal,0.5885261297225952
4824285,0,15,Normal,0.5229607224464417
10196192,0,15,Normal,0.9240372776985168
9451885,0,15,Normal,0.9286248087882996
15954831,0,15,Normal,0.9889332056045532
15818181,0,15,Normal,0.5816525220870972
4429693,0,15,Normal,0.9651461243629456
6973127,0,15,Normal,0.9549486637115479
5117203,0,15,Normal,0.5705530643463135
10096128,0,15,Normal,0.9220203161239624
1242522,0,15,SSH Patator,0.5400963425636292
9107797,0,15,Normal,0.8768908381462097
