Index,Ground Truth,SLM Prediction,SLM Label,SLM Score
9122635,Benign,0,Normal,0.820781946182251
62325,FTP-Patator,0,Normal,0.99687260389328
8438627,Benign,0,Normal,0.9539332985877991
1070267,DoS GoldenEye,1,SSH Patator,0.7501755952835083
14522573,Benign,1,SSH Patator,0.5934799909591675
13905086,Benign,0,Normal,0.9890029430389404
7638917,Benign,0,Normal,0.6555160880088806
13684657,Benign,0,Normal,0.9814545512199402
10650863,Benign,1,SSH Patator,0.8408479690551758
1720728,Benign,1,SSH Patator,0.6995984315872192
11782620,Benign,0,Normal,0.9829061031341553
9776879,Benign,0,Normal,0.7043170928955078
14232672,Benign,1,DoS Slowloris,0.5683469176292419
7443070,Benign,0,Normal,0.9319718480110168
11469066,DDoS,0,Normal,0.5029876232147217
15614484,Benign,1,SSH Patator,0.9692654013633728
5322591,Benign,1,Web Attack - Brute Force,0.7036774754524231
4332487,Benign,0,Normal,0.9831799268722534
8678821,Benign,0,Normal,0.991975724697113
15658605,Benign,1,Web Attack - Brute Force,0.7344450950622559
16127369,Benign,0,Normal,0.9976394176483154
4670537,Benign,0,Normal,0.8828762173652649
15946981,Benign,0,Normal,0.8983471989631653
5966914,Benign,1,SSH Patator,0.8748719096183777
7133290,Benign,1,SSH Patator,0.7832736968994141
7814163,Benign,1,Web Attack - Brute Force,0.6387883424758911
14385228,Benign,0,Normal,0.9954800605773926
2417704,DoS Hulk,1,SSH Patator,0.817397952079773
1112912,Benign,1,SSH Patator,0.7970825433731079
12510583,Benign,1,SSH Patator,0.8409138917922974
1103958,Benign,0,Normal,0.9591490030288696
8783992,Benign,1,SSH Patator,0.9470217823982239
3932728,Benign,0,Normal,0.9115481972694397
3150284,DDoS,0,Normal,0.8951870203018188
14116555,Benign,1,SSH Patator,0.796281635761261
13061051,Benign,1,SSH Patator,0.6416981220245361
14238819,Benign,1,DoS Slowloris,0.6522817611694336
12470608,Benign,1,SSH Patator,0.5377054214477539
14860361,Benign,0,Normal,0.9974226951599121
276991,SSH-Patator,1,DoS Slowloris,0.9720410108566284
7238551,Benign,0,Normal,0.9662250280380249
8785451,Benign,1,SSH Patator,0.7709153890609741
12735679,Benign,0,Normal,0.8117967247962952
5702384,Benign,0,Normal,0.8891778588294983
12096021,Benign,0,Normal,0.6154811382293701
15079482,Benign,0,Normal,0.9982131719589233
6810237,Benign,1,SSH Patator,0.708469033241272
7669357,Benign,1,SSH Patator,0.735015869140625
12396251,Benign,1,SSH Patator,0.901552677154541
1352263,Benign,1,SSH Patator,0.7399981617927551
6032978,Benign,1,SSH Patator,0.6162318587303162
8396342,Benign,0,Normal,0.790930986404419
11201499,DDoS,0,Normal,0.7802527546882629
8374956,Benign,0,Normal,0.48378831148147583
5383707,Benign,0,Normal,0.5238381028175354
4642265,Benign,0,Normal,0.6680436134338379
9529992,Benign,0,Normal,0.9974973797798157
6105289,Benign,1,DoS Slowloris,0.855452299118042
7484338,Benign,0,Normal,0.7347937226295471
3056033,DoS Hulk,0,Normal,0.8703570365905762
14829550,Benign,0,Normal,0.8777666687965393
14330115,Benign,1,Web Attack - Brute Force,0.5447193384170532
11068567,DDoS,1,SSH Patator,0.8935555219650269
4745028,Benign,0,Normal,0.6206105351448059
8921337,Benign,0,Normal,0.5640864372253418
8928710,Benign,0,Normal,0.8777187466621399
6296837,Benign,0,Normal,0.7282756567001343
6789331,Benign,0,Normal,0.572268009185791
390020,Benign,1,DoS Slowloris,0.6210370659828186
8283784,Benign,1,Web Attack - Brute Force,0.829286515712738
198353,SSH-Patator,0,Normal,0.9894066452980042
9832599,Benign,0,Normal,0.6931396722793579
13771726,Benign,0,Normal,0.7281577587127686
212713,SSH-Patator,0,Normal,0.9452799558639526
15972635,Benign,0,Normal,0.9951416254043579
14443993,Benign,0,Normal,0.9398592114448547
11133314,DDoS,0,Normal,0.5804104208946228
9362619,Benign,0,Normal,0.9678581953048706
12337474,Benign,1,SSH Patator,0.6323492527008057
3665147,DDoS,1,SSH Patator,0.6069399118423462
6139540,Benign,0,Normal,0.9740242958068848
12800539,Benign,1,Web Attack - Brute Force,0.46957463026046753
15386915,Bot,0,Normal,0.9963416457176208
11899728,Benign,0,Normal,0.976830244064331
7062953,Benign,0,Normal,0.9381943941116333
14030785,Benign,0,Normal,0.9164587259292603
5757575,Benign,0,Normal,0.9974973797798157
11361489,Benign,1,SSH Patator,0.9772212505340576
9974042,Benign,0,Normal,0.5279504656791687
11256374,DDoS,1,SSH Patator,0.6842344403266907
2634985,Benign,0,Normal,0.9351292848587036
9477491,Benign,1,SSH Patator,0.9470217823982239
1090344,DoS GoldenEye,1,SSH Patator,0.9662851095199585
4871375,Benign,1,SSH Patator,0.7955370545387268
8990657,Benign,0,Normal,0.9931389689445496
3217565,DDoS,0,Normal,0.9541001915931702
1382615,Benign,0,Normal,0.6288163065910339
2214054,Benign,0,Normal,0.9943976402282715
9568151,Benign,1,Exploits,0.9991889595985413
13825164,Benign,1,Exploits,0.5293563008308411
