protocol,src_port,dst_port,packet_length,ttl,timestamp,src_ip,dst_ip,tcp_flags,window_size,flow_duration,flow_bytes_per_sec,flow_packets_per_sec,hour,minute,second,day_of_week,binary_prediction,multiclass_label
6,443,57126,143,57,1732434010.85542,162.159.133.234,192.168.1.11,PA,9,0,0,0,1,40,10,6,,Benign
6,57126,443,54,128,1732434010.896905,192.168.1.11,162.159.133.234,A,2043,0,0,0,1,40,10,6,,Benign
6,57514,443,169,128,1732434011.182883,192.168.1.11,74.125.201.94,PA,250,0,0,0,1,40,11,6,,Benign
6,443,57514,60,121,1732434011.204022,74.125.201.94,192.168.1.11,A,1046,0,0,0,1,40,11,6,,Benign
6,443,57514,174,121,1732434011.206294,74.125.201.94,192.168.1.11,PA,1046,0,0,0,1,40,11,6,,Benign
6,443,57514,128,121,1732434011.206294,74.125.201.94,192.168.1.11,PA,1046,0,0,0,1,40,11,6,,Benign
6,443,57514,93,121,1732434011.206294,74.125.201.94,192.168.1.11,PA,1046,0,0,0,1,40,11,6,,Benign
6,57514,443,54,128,1732434011.206321,192.168.1.11,74.125.201.94,A,255,0,0,0,1,40,11,6,,Benign
6,57514,443,93,128,1732434011.206478,192.168.1.11,74.125.201.94,PA,255,0,0,0,1,40,11,6,,Benign
6,443,57514,60,121,1732434011.232896,74.125.201.94,192.168.1.11,A,1046,0,0,0,1,40,11,6,,Benign
6,55890,443,295,128,1732434011.969929,192.168.1.11,35.174.127.31,PA,255,0,0,0,1,40,11,6,,Benign
6,443,55890,60,106,1732434012.004533,35.174.127.31,192.168.1.11,A,4504,0,0,0,1,40,12,6,,Benign
6,443,55890,319,106,1732434012.0046,35.174.127.31,192.168.1.11,PA,4504,0,0,0,1,40,12,6,,Benign
6,55890,443,54,128,1732434012.045454,192.168.1.11,35.174.127.31,A,254,0,0,0,1,40,12,6,,Benign
6,443,57126,703,57,1732434013.163561,162.159.133.234,192.168.1.11,PA,9,0,0,0,1,40,13,6,,Benign
6,57126,443,54,128,1732434013.208259,192.168.1.11,162.159.133.234,A,2047,0,0,0,1,40,13,6,,Benign
6,57503,443,176,128,1732434015.374363,192.168.1.11,108.157.150.56,PA,255,0,0,0,1,40,15,6,,Benign
6,443,57503,60,249,1732434015.375646,108.157.150.56,192.168.1.11,A,133,0,0,0,1,40,15,6,,Benign
6,443,57503,634,249,1732434015.480373,108.157.150.56,192.168.1.11,PA,133,0,0,0,1,40,15,6,,Benign
6,443,57503,85,249,1732434015.480556,108.157.150.56,192.168.1.11,PA,133,0,0,0,1,40,15,6,,Benign
6,57503,443,105,128,1732434015.480576,192.168.1.11,108.157.150.56,PA,253,0,0,0,1,40,15,6,,Benign
6,443,57503,60,249,1732434015.481979,108.157.150.56,192.168.1.11,A,133,0,0,0,1,40,15,6,,Benign
6,57503,443,105,128,1732434015.481991,192.168.1.11,108.157.150.56,PA,253,0,0,0,1,40,15,6,,Benign
6,443,57503,60,249,1732434015.483027,108.157.150.56,192.168.1.11,A,133,0,0,0,1,40,15,6,,Benign
6,57508,443,93,128,1732434016.126269,192.168.1.11,64.233.181.95,PA,251,0,0,0,1,40,16,6,,Benign
6,57509,443,93,128,1732434016.126322,192.168.1.11,64.233.181.95,PA,255,0,0,0,1,40,16,6,,Benign
6,443,57509,60,121,1732434016.147511,64.233.181.95,192.168.1.11,A,1034,0,0,0,1,40,16,6,,Benign
6,443,57509,93,121,1732434016.147511,64.233.181.95,192.168.1.11,PA,1034,0,0,0,1,40,16,6,,Benign
6,443,57508,60,121,1732434016.147702,64.233.181.95,192.168.1.11,A,1041,0,0,0,1,40,16,6,,Benign
6,443,57508,93,121,1732434016.147702,64.233.181.95,192.168.1.11,PA,1041,0,0,0,1,40,16,6,,Benign
6,57508,443,54,128,1732434016.189105,192.168.1.11,64.233.181.95,A,251,0,0,0,1,40,16,6,,Benign
6,57509,443,54,128,1732434016.189124,192.168.1.11,64.233.181.95,A,255,0,0,0,1,40,16,6,,Benign
6,57126,443,108,128,1732434018.216953,192.168.1.11,162.159.133.234,PA,2047,0,0,0,1,40,18,6,,Benign
6,443,57126,60,57,1732434018.21919,162.159.133.234,192.168.1.11,A,9,0,0,0,1,40,18,6,,Benign
6,443,57126,93,57,1732434018.261267,162.159.133.234,192.168.1.11,PA,9,0,0,0,1,40,18,6,,Benign
6,57126,443,54,128,1732434018.304145,192.168.1.11,162.159.133.234,A,2047,0,0,0,1,40,18,6,,Benign
6,443,57126,276,57,1732434109.792205,162.159.133.234,192.168.1.11,24,9,0,0,0,1,41,49,6,,Benign
6,57126,443,54,128,1732434109.843772,192.168.1.11,162.159.133.234,16,2047,0,0,0,1,41,49,6,,Benign
17,5353,5353,366,1,1732434110.722173,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,50,6,,Benign
17,5353,5353,93,1,1732434110.723743,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,50,6,,Benign
17,5353,5353,93,1,1732434110.985803,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,50,6,,Benign
17,5353,5353,93,1,1732434111.237244,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,51,6,,Benign
17,5353,5353,431,1,1732434111.490963,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,51,6,,Benign
17,5353,5353,367,1,1732434111.491287,192.168.1.11,224.0.0.251,0,0,0,0,0,1,41,51,6,,Benign
17,56008,53,1,0,90,0,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,90,0,0,1,43,41,6,,Benign
17,53,56008,1,0,211,0,211,211,211,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,211,0,0,1,43,41,6,,Benign
6,57527,443,1,0,66,0,66,66,66,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,66,65535,0,1,43,41,6,,Benign
6,443,57527,1,0,66,0,66,66,66,0,0,0,0,0,0,1,0,0,1,0,0,0,20,0,0,0,0,66,65535,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1024,0,1,43,41,6,,Benign
6,57527,443,1,0,510,0,510,510,510,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,510,1024,0,1,43,41,6,,Benign
6,443,57527,1,0,1514,0,1514,1514,1514,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,1514,16383,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1024,0,1,43,41,6,,Benign
6,443,57527,1,0,1514,0,1514,1514,1514,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,1514,16383,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1024,0,1,43,41,6,,Benign
6,443,57527,1,0,1514,0,1514,1514,1514,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,1514,16383,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1024,0,1,43,41,6,,Benign
6,443,57527,1,0,1514,0,1514,1514,1514,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,1514,16383,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1024,0,1,43,41,6,,Benign
6,443,57527,1,0,618,0,618,618,618,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,618,16383,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1021,0,1,43,41,6,,Benign
6,57527,443,1,0,134,0,134,134,134,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,134,1021,0,1,43,41,6,,Benign
6,57527,443,1,0,580,0,580,580,580,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,580,1021,0,1,43,41,6,,Benign
6,57527,443,1,0,4974,0,4974,4974,4974,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,4974,1021,0,1,43,41,6,,Benign
6,443,57527,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,16380,0,1,43,41,6,,Benign
6,443,57527,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,16385,0,1,43,41,6,,Benign
6,443,57527,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,16385,0,1,43,41,6,,Benign
6,443,57527,1,0,157,0,157,157,157,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,157,16385,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1021,0,1,43,41,6,,Benign
6,443,57527,1,0,500,0,500,500,500,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,500,16385,0,1,43,41,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,1019,0,1,43,41,6,,Benign
6,57515,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,250,0,1,43,42,6,,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,43,42,6,,Benign
6,443,57515,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1045,0,1,43,42,6,,Benign
6,57515,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,43,42,6,,Benign
6,57527,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,1,0,1,0,0,0,20,0,0,0,0,54,0,0,1,43,42,6,,Benign
6,443,57126,1,0,153,0,153,153,153,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,153,9,0,1,43,43,6,,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2042,0,1,43,43,6,,Benign
6,57126,443,1,0,108,0,108,108,108,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,108,2042,0,1,43,44,6,,Benign
